o	autorização/letra/caractér/carácter
infanticida	assassino/homicídio/homicida/assassínio/assassinato
lupanar	prédio/edifício
hipoglicemia	sintoma
asteca	nahuatl
esponsais	ritual/rito
tintura	colorante/tinta/remédio/medicamento/tez/cor
vidoeiro	vara
manjericão	erva/basílico
samovar	urna
jaca	fruta
egiptologia	arqueologia
percevejo	insecto/inseto
tora	madeira/rolo/pergaminho
latoeiro	artífice/artesão
grosa	expressão/enunciado
beberagem	mistura/mixagem
tectónica	morfologia/geomorfologia
satori	esclarecimento
tratadista	autor/escritor
relações-públicas	publicidade/promoção/anúncio/propaganda
carmesim	vermelhidão/vermelho/rubro/escarlate/encarnado
glissando	melodia/toada
website	computador/calculadora
mijo	urina/micção
papeleta	anúncio
torta	pastel
desinência	conclusão/término/fim/cabo
castrato	cantador/cantor/cantora/vocalista
pátina	capa
dermatite	eczema
almofadinha	varão/macho/homem
citoplasma	protoplasma
cloridrato	composto
decalcomania	ornamento
banqueta	assento/cadeira
dialética	filosofia
moiro	muçulmano
abacaxi	fruta/erva/maconha
pipeta	metro
embriologia	biologia
loft	pavimento/piso/andar
contra-terrorismo	táctica/estratégia
bromo	halogénio
concomitância	conjunção/coincidência
shaker	chocalho
púbis	osso
patuá	amuleto/talismã
sinédrio	conselho
sirena	alarme
andrajo	pano
alcantilado	formação
granja	quinta/sítio/fazenda/trabalho/laboratório/oficina/emprego
elefantíase	hipertrofia
entalhe	impressão
contra-senha	arcano/segredo
abc	princípio
cóclea	tubo
caractér	letra/grafema
díade	dois/duas
cânula	cano/canal/duto/conduto/tubo/pipeline/cachimbo
biota	montão/colecção/ruma/chusma/coleção/grupo/aglomeração
elisão	omissão
interrelação	relação/conexão
açougueiro	comerciante/mercador/negociante
antepasto	aperitivo/prato
poliéster	plástico/pano/éster/fazenda/tecido
ramerrão	procedimento/processo
referendum	votação
electromagnetismo	magnetismo/física
peçonha	substância
mutualismo	interdependência
cilício	camisa
alcoólatra	beberrão/borracho/bêbado
fumigação	revestimento
pedómetro	metro
abside	nicho
infinitivo	verbo
violonista	tocador/instrumentista/instrumentalista/músico
ditongo	vogal
numerologia	terreno/campo/disciplina/domínio
atração	artista/força/qualidade/característica/espectáculo/show
cuneiforme	escrita
firewall	forca/impulsão/empurrão/impulso
torcicolo	anormalidade
kimono	veste/vestido
toxoplasmose	infecção
atriz	intérprete/artista/actor/ator
telómero	traseiro
dorminhoco	alma/indivíduo/alguém/pessoa
lavanda	arbusto/moita/mato
vitupério	injúria/insulto
patronímico	nome/prenome
bate-papo	conversa/conversação
bígamo	marido/cônjuge/esposo/consorte/colega/homem/esposa
lêmure	primata
monomania	mania
balconista	assalariado/empregado/operário
calhambeque	veículo/auto/viatura/automóvel/máquina/carro
sufismo	misticismo
lauda	folha
astronave	navio/satélite
mediana	média
ómega	conclusão/fim/resultado/chegada/letra/caractér/carácter
bueiro	vão/furo/buraco
tevê	radiorreceptor/receptor/broadcast
obstipação	sintoma
doodle	ilustração/imagem/desenho/figura/pintura
gafe	bobagem/equívoco/falha/erro/engano/fiasco
octógono	polígono
patíbulo	tablado
opala	mineral
circunlóquio	evasão
agorafobia	fobia
taxonomia	categorização/hierarquia/classificação/sistemática
curry	prato
soqueira	arma/armamento
furúnculo	acne
odalisca	concubina/cortesã/directoria/amante/chefa
hipercolesterolemia	sintoma
inflamabilidade	qualidade
boteco	taberna/taverna/prédio/edifício
mocassim	calçado/sapato
dietista	perito/expert/especialista/experto
estrabismo	anormalidade
caleche	carruagem
luzeiro	brilho/luminosidade
filovírus	classe/família
desfastio	anseio
apólogo	história/estória/conto
programadora	engenheiro
eucariota	criatura/organismo/ser
baronia	fazenda
epistemólogo	filósofo
acetilcolina	neurotransmissor
adriça	toa/corda
apiário	celeiro
encabeçamento	melodia/linha
cerviz	rabo/traseiro
anil	violeta/corante/lilás/tintura/roxo/cor
decifrador	leitor
histerectomia	ablação/extirpação
manómetro	manômetro
dispepsia	sintoma
babucha	ungulados/equídeo
anti-ciclone	atmosfera/ambiente
www	rede
tântalo	metal
alta-tecnologia	tecnologia/engenharia
contraventor	criminoso
latrocínio	roubo/assalto
heavy_metal	rock_and_roll/rock
ciclope	gigante
grumo	grupo/bola/torrão
hinduismo	igreja/religião
derretimento	aquecimento/esquentamento
dafne	ninfa
camomila	erva/chá/maconha
questor	serventuário/funcionário
sapatão	alma/lésbica/indivíduo/alguém/pessoa
francófilo	seguidor
adenocarcinoma	carcinoma
binômio	quantidade/número/soma
motosserra	serra
ação	tarefa/enredo/argumento/certificado/garantia/evento/acontecimento/fato/condição/estado/situação/acção/ato/feito/trabalho
frialdade	frio
alienista	psiquiatra/encolhimento
cata-vento	foguete
rubídio	metal
décimo_quinto	classe/hierarquia/posição/posto
asa-delta	planador
dervixe	faquir
hidrocefalia	anormalidade
cafeteria	restaurante
mandarete	ajudante/assistente/empregado
metalinguagem	discurso/língua/idioma/linguagem
escaler	embarcação/navio/barco/batel/bote
gálio	metal
estado-fantoche	governo/regime
genitália	órgão
grilhão	algema/restrição/limitação/cadeia
lindano	inseticida
dominatrix	mulher
joanete	inchamento
livre-cambismo	comércio
mento	traço
aprimoramento	melhoramento/melhoria
viquingue	escandinavo
porrete	vara/pau/bastão/clava
resiliência	elasticidade
calvinismo	protestantismo
destinação	distribuição
deliquência	negligência
brunch	jantar/repasto/refeição
salmonelose	intoxicação
xintoísmo	religião/fé
encapsulamento	estado/situação/condição
besteira	bobagem
daguerreótipo	ilustração/figura/imagem/retrato/desenho/fotografia/foto
jainismo	seita
pianola	piano
éden	céu
cariátide	pilar/coluna
timão	liderança
caipira	plebeu
laringite	inflamação
silicato	sal
coleção	raridade/postulação/curiosidade/instância/requisição/requerimento/petição/solicitação/abaixo-assinado/apelo/conjunto/grupo
polia	máquina
ametista	quartzo
hexano	solvente
velcro	pano/fazenda/tecido
armaria	fundição
titeriteiro	intérprete
corça	desova/cervo/veado
esfacelamento	retirada
minueto	dance_music
extirpação	puxão/cirurgia/operação/tração
futon	colchão
isquémia	anemia
carroceria	edifício/tecido/estrutura
profilático	medicamento/remédio/terapia
anacoreta	eremita
soprador	leque/ventilador
clepsidra	relógio
chope	cerveja
boia	referência
xícara	continente/contentor/caixa/jarro/vaso/vasilha
lanígero	pano/fazenda/tecido
proscrição	rejeição
auto-aprendizagem	educação/ensino
greta	vão/fenda
cinetoscópio	ferramenta/aparelho/aparato/mecanismo/instrumento/dispositivo/equipamento
arseniato	sal
rastreamento	caçada/perseguição
judaismo	igreja/religião
curare	alcalóide
toco	parte/fragmento/tomo/pedaço/porção/secção
refrigerador	geladeira/frigorífico
menestrel	intérprete
lombriga	nemátodo
exalação	hálito/fôlego/alento/folêgo/respiração
gotinha	gota
desmineralização	doença/patologia
aromaterapia	terapia
magnete	ferramenta/aparelho/aparato/mecanismo/instrumento/dispositivo/equipamento
nemátodo	verme
abjuração	negação
paletó	casaco/sobretudo
hidroterapia	tratamento
icosaedro	poliedro
agenciador	jogador/apostador
metanfetamina	anfetamina
molibdénio	metal
micrometeorito	meteorito/aerólito
pectina	celulose
resort	hotel
adoçante	tentação/condimento/tempero
antropocentrismo	partidarismo/parcialidade
fíbula	alfinete
mitigação	redução/diminuição
quaker	seita
chibata	instrumento/aparelho/ferramenta
fundura	alcance/extensão
videogame	passatempo/hobby
encanamento	instalação/arte/ofício/profissão
brioche	bolo/pãozinho
provincia	domínio/esfera
aprendizado	posto/instrução/educação/cargo/posição
denotação	intenção/significado/sentido
aramaico	escrita
pré-molar	dente
caturra	papagaio
juke-box	gramofone/fonógrafo
cambraia	pano/fazenda/tecido
regicida	assassino/matador
palmilha	sola
aviadora	piloto-aviador/aeronauta/piloto/aviador
molheira	louça/prato
chinchila	roedor
ostomia	orifício
maxila	mandíbula
solitude	incomunicação/isolamento
pas	passo
videocassette	fita_magnética
colite	inflamação
abdômen	anatomia
gorjeio	som/ruído
ponche	porrada/golpe
sinestesia	sensação
bistrô	restaurante
tetraciclina	bactericida
facão	faca
memento	livro
pricing	avaliação
anti-coagulante	remédio/medicamento
underdog	perdedor
fellow	associado
diretor	executivo/educador/pedagogo/administrador
cara-pálida	caucasiano/caucasiana/branco
varejo	venda
ditirambo	hino
autoestima	auto-estima/orgulho
floculação	atividade
langor	sentimento/emoção/impressão
burrito	prato
coolie	asiático/asiática
baptista	protestante
softbol	beisebol/basebol
sem-teto	estado/situação/condição
foda	coito/cópula
entomologia	zoologia
mesotelioma	carcinoma
vagalhão	onda/vaga
rameira	mulher
mohair	pano/fazenda/tecido
blaxploitation	exploração
mastaba	sepultura/túmulo/tumba
locador	dono/proprietário
glúten	proteína
soldagem	ligação/fixação
connaisseur	autoridade
biga	viga/trave
azeviche	lenhite
porter	cerveja
soluto	matéria/solução/mistura/substância
falua	veleiro
bismuto	metal
bastardia	status/posição/classe/condição/estado
cangaceiro	gatuno/ladra/ladrão
ocapi	girafa
queratite	inflamação
priapismo	doença/patologia
pai-nosso	ascensor/elevador
depleção	redução/diminuição
concussão	choque
gládio	arma/armamento
sátrapa	governador
protelação	conclusão
peido	reflexo
artrópode	invertebrado
quiabo	legume/verdura/hortaliça/vegetal/erva/maconha
tamborete	assento/cadeira
mamãe	progenitora/mãe
joalheria	decoração/ornamento
cantoneira	aço
heleno	europeu
nestoriano	caçador/seguidor
tálamo	parte/fragmento
espadeiro	combatente/lutador/guerreiro/lutadora
folêgo	ar
bogie	avião/aeronave/aeroplano
dumper	caminhão/camião
vovó	avós/avô
trigêmeo	irmã/irmão
hulha	petróleo
funileiro	artífice/ferreiro/artesão
vovô	avô/avós
pára-sol	anexo
anemómetro	bitola
ciática	nevralgia
sem-vergonha	insecto/inseto
cretinismo	hipotiroidismo
cerefólio	erva
ósculo	contato/toque
orbe	esfera/bola
teosofia	sistema
politeísmo	teísmo
tapioca	alimento
zumbi	falecido/morte
hipoglicémia	sintoma
bôer	sul-africano
acupuntura	tratamento
parotidite	inflamação
prematuridade	imaturidade
motilidade	mobilidade
pontada	costura
poeta-cantor	cantador/cantor/cantora/vocalista
embevecimento	humor/espírito
serialização	publicação/publicitação
amoralismo	doutrina/filosofia
ninfomania	concupiscência/cio/eros
loggia	arcada
estacada	fortaleza/obstáculo/barreira/fortificação
primogênito	descendência/descendente/filho
abstração	ser/entidade/ente
silabário	escrita
gozação	diversão
chofer	operador/manipulador/condutor/motorista/conductor
demandante	alma/indivíduo/alguém/pessoa
iniciante	principiante/novato
psicofisiologia	psicologia
instrumentalista	intérprete
necrotério	prédio/edifício
atractor	ponto
blini	bolo/panqueca
gradiente	mudança
sarrafo	ripa
plagiador	gatuno/ladra/ladrão
nucleótido	éster
estreptomicina	antibiotico/antibiótico
cimitarra	sabre
sociobiologia	biologia
gato-bravo	gato
evangelismo	pregação/prédica/sermão
coprólito	cocô/porcaria/excremento/merda/esterco/bosta
chilro	som/ruído
poliamida	polímero
castão	trinco/alça/cabo
coleta	petição/buscar/oração/reza/procurar
valise	bagagem/mala/embrulho
distopia	literatura/ficção
penduricalho	decoração/ornamento
tingimento	tez
litosfera	estrato/camada
escoadouro	duto/canal/tubulação
lobinho	loba/lobo
genuflexão	mudança
xamanismo	religião/fé
calcâneo	osso
convecção	atividade
paca	roedor
biplano	avião/aeroplano
pupa	insecto/inseto
broadcast	telecomunicação
micção	excreção/evacuação
gnu	antílope
etano	hidrocarboneto
arquitrave	base
grana	dinheiro/divisa/moeda
numismata	coletor/agregador
protetorado	posto/cargo/posição/terra/domínio/território/circunscrição/país/distrito/condado/comarca
palanquim	liteira/maca
costoleta	rodela
bicho-da-seda	larva/lagarta
narguilé	cachimbo
ágio	custo/preço
washingtoniano	estado-unidense/norte-americano
slot_machine	maquinaria/máquina
seteira	vão/furo/buraco
cóccix	osso
anzac	soldado/militar
fulereno	carbono
tonicidade	importância
bosquímano	nomadismo
meme	aculturação/cultura
alfabetismo	técnica/meta/talento/habilidade
ministração	remédio
leptospirose	zoonose
estradiol	estrogénio
perfusão	inserção/introdução
bazófia	humor
maniqueismo	religião/fé
perífrase	evasão
brigue	veleiro
páprica	condimento/tempero
anaconda	jibóia
elã	energia/vigor
bactericida	remédio/medicamento
porta-luvas	compartimento
vilarejo	vila/localidade
desjejum	jantar/repasto/refeição
florilégio	antologia/selecta
goulash	guisado/cozido
proteção	batalha/aprovação/ocupação/atividade/segurança/combate
abafador	cobertura/capa
vira-lata	cachorro/cão
mamão	fruta
rizoma	caule/tronco
guinéu	peça/moeda/divisa/prata
dosímetro	metro
confabulação	memória
balaústre	apoio/suporte/encosto
botanista	biólogo/biologista
mentirinha	mentira/falsidade/história
pletora	excesso/exorbitância/demasia
insight	discernimento/compreensão
arranco	impulso/empurrão/impulsão/forca
zarcão	óxido
pilriteiro	arbusto/moita/mato
metatarso	esqueleto
vermute	vinho
abrasão	atrito/erosão/ferimento/ferida/lesão/mágoa/fricção
monismo	doutrina/filosofia
cardiomiopatia	cardiopatia
bócio	doença
bandejão	cantil/frasco
impermeabilizante	proteção/protecção
anelo	nostalgia/anseio/suspiro/saudade/apetite/pretensão/desejo
baladeira	brinquedo
iteração	repetição/teste
primeiro-vice-presidente	vice-presidente
equalizador	acção/ação/ato/feito
mhz	velocidade/ritmo
projeção	figura/edifício/tecido/estrutura/ilustração/desenho/imagem/representação
murganho	rato/mouse/ratazana
fi	letra/caractér/carácter
ostrogodo	godo
sístole	pulso
escara	crosta
catalogador	bibliotecário
gramínea	erva/maconha
consommé	sopa
carda	erva/maconha
torque	força
coador	filtração/filtro/passador
luminescência	luz
assadeira	vasilhame/vasilha/vaso
ligante	substância
sobrecasaca	casaco/sobretudo
biotipo	genótipo
fístula	canal
defecação	excreção/evacuação
hemocromatose	doença/patologia
livreto	livro
subjetivismo	qualidade
micronutriente	nutriente/comida/alimento
antiácido	agente
metabolito	substância
guilda	associação/união/ordem/sociedade/organização
ecocardiograma	gráfico
abolicionismo	doutrina/filosofia
papai	progenitor/mãe/papá/pai/painho
osteopatia	tratamento
antónimo	verbo/palavra/termo/vocábulo
pré-conceito	parcialidade/partidarismo
corroboração	confirmação/ratificação
nióbio	metal
propedêutica	aula/curso
chaveiro	ferreiro
guano	merda/excreção/excremento
numeral	símbolo/simbolo/aceno/emblema/sinal
vasopressina	hormona
ace	serviço
omeprazol	antiácido
matacão	rocha/pedra
vivissecção	cirurgia/operação
sacanagem	diversão
crinolina	pano/fazenda/tecido
coruja-das-torres	coruja/bufo/mocho/corujão
depurador	aparato/aparelho/equipamento/programa
lémure	primata
cleptomania	mania
collant	vestuário/roupa
thesaurus	vocabulário
sabá	feriado
conductor	chofer/operador/manipulador/condutor/motorista
colcheia	som/nota/tom/ruído
biela	barra
charamela	oboé
bumbo	tambor/tímpano
poupador	amo/dono/proprietário/possuidor
estagflação	inflação
arruda	erva/maconha
cesura	prosódia/interrupção/suspensão/pausa
plotter	instrumento/aparelho/ferramenta
anglo-normando	francês
zigurate	templo
grês	cerâmica
biologista	cientista
interpretador	programa
onomástica	lexicologia
cosmógrafo	cientista
pau-brasil	madeira
camareira	doméstico/empregado/servidor
benchmark	referência
amoxicilina	penicilina
rábano	rabanete/raíz/raiz
glicemia	glicose/glucose
unitarismo	protestantismo
jóquei	ginete/cavaleiro
grisaille	chiaroscuro
batch	execução
sarro	sal
dália	flor
desmagnetização	atividade
insulano	morador/habitante
gametócito	célula
arboricultura	pecuária/cultivo/agricultura
diástole	pulso
coabitante	camarada/amigo/conhecido/amiga/amizade
zibelina	marta
tiramisu	sobremesa
pelúcia	pano/fazenda/tecido
domo	cúpula/telhado/teto
oxicoco	fruta/arbusto/moita/mato/fruto/baga
panchão	foguete
insipidez	tédio
antissemitismo	racismo
redingote	casaco/sobretudo
cariótipo	constituição/composição/estrutura
epônimo	nome/prenome
agourento	desafortunado/desventurado
morangueiro	erva/maconha
espermicida	anticoncepcional
macaquice	alma/indivíduo/alguém/pessoa
tática	programa
micrómetro	calibrador
astronáutica	física
ionosfera	região
paraplegia	marasmo/paralisia
ípsilon	letra/caractér/carácter
arquitetura	prédio/profissão/terreno/campo/disciplina/domínio/edifício
térmite	insecto/inseto
noma	ulceração/úlcera
fluoresceína	cor/tintura/corante
senescência	velhice
taxidermia	destreza/arte
profiterole	pastel
picha	falo/verga/pênis/pinto/caralho/membro
alabarda	chuço/pique/lança
biografista	autor/escritor
cromosfera	estrato/camada
neurotoxina	toxina
besteirol	bobagem/besteira
tortilla	bolo/panqueca
radiofrequência	frequência
arquiduquesa	príncipe
vulcanização	processamento
luteranismo	protestantismo
rangido	ruído
ativo	propriedade/posse/bem
senhorita	moça/garota/rapariga/mulher
sangramento	inchaço/traumatismo/lesão/mal/dano
desvio-padrão	variância
punjabi	sânscrito/hindu/indiano
ki	vitalidade/energia
gujarati	hindu/indiano
curling	jogo
atividade	condição/estado/situação/acção/ação/ato/feito/peculiaridade/feição
quartzito	rocha/pedra
ex-prefeito	prefeito/autarca
mensuração	ocupação/atividade
sacabuxa	trombone
espineta	cravo
aríete	ovelha/carneiro
genótipo	constituição/composição/estrutura
agitprop	propaganda/divulgação
diazepam	benzodiazepinas
romantização	autoria
grisu	gás
catatonia	esquizofrenia
mudra	sinal/gesto
estratigrafia	geologia
cortisol	corticosteróide
buscador	alma/indivíduo/alguém/pessoa
derme	estrato
porco-espinho	roedor
ungulados	mamífero
livro-caixa	registro
xogum	japonês/autocrata/ditador
estenógrafo	secretário/secretária
isocianato	sal
geladeira	refrigerador/frigorífico
valo	vala/trincheira/fossa
corcova	edifício/tecido/estrutura
coalhada	lacticínio/laticínio
garotinha	fêmea/mulher
dispnéia	sintoma
dragona	decoração/ornamento
aerograma	missiva/carta
subtração	redução/diminuição
logaritmo	expoente
zum	objectiva
facsimile	cópia/reprodução
mouse	roedor
cabrita	cabrito/cabra/bode
cauchu	látex
execração	abominação/repulsa/asco/náusea/repugnância/nojo/aversão/ódio
pirólise	mudança/transformação/transmutação
subeditor	redator
uréter	canal
açaimo	restrição/limitação
armagnac	brandy/cachaça/pinga/conhaque/aguardente
fator	componente/número/causa
porcentagem	proporção
mihrab	nicho
borrifo	ruído
margarita	cocktail/coquetel
corticosteróide	esteróides/esteróide
astrometria	astronomia
pederneira	sílica
alopurinol	remédio/medicamento
desenhista	artista
goleiro	jogador/futebolista
antropometria	medida/mensuração/medição
balancé	brinquedo
canhenho	livro
marga	solo/terra
gigahertz	velocidade/ritmo
afta	úlcera/ulceração
janízaro	soldado/militar
gémeo	irmã/irmão
mi	letra/caractér/carácter
classe-média	estrato/classe
octagésimo	classe/hierarquia/posição/posto
compreensibilidade	qualidade
osteoartrite	artrite
descente	descida/declínio/barranco
moleira	orifício
fólio	livro
aplicativo	programa
pirulito	candil/caramelo/bala
pérgola	estrutura/infra
sashimi	prato
oxidase	enzima
ondinha	onda/vaga
diatomácea	fitoplâncton/alga
fratura	rompimento/inchaço/traumatismo/lesão/mal/dano
examinação	investigação
zigoto	célula
manganés	metal
clara	ingrediente
décimo_oitavo	classe/hierarquia/posição/posto
esfíncter	músculo
boqueirão	vão/fenda
ong	organização
ábside	nicho
pickup	camião/caminhão
ergotismo	intoxicação
colostro	leite
cílio	cabelo/pêlo
telegrafia	telecomunicação
paládio	metal
khat	estimulante
almíscar	cheiro
ghost-writer	autor/escritor
hosana	grito/chamada/brado
ravióli	massa
registrador	registro
carona	passeio/passageiro
reaquecimento	aquecimento/esquentamento
broncodilatador	remédio/medicamento
anoraque	jaqueta
invariância	qualidade/característica
hiperplasia	displasia
apoiador	anunciante
semivida	período/etapa/tempo
prenome	apelido/nome
discursante	alto-falante/locutor/palestrante/falante
eletricidade	energia
coxim	almofada
angiogénese	crescimento
fenestração	posição/espaçamento
pastis	licor
beluga	delfim/boto/golfinho
help_desk	serviço
cliffhanger	episódio
bioma	comunidade
espondilite	inflamação
estenografia	caligrafia
paelha	prato
escapulário	pena/plumagem/pluma
bot	larva
tubarão-baleia	tubarão
halogénio	conjunto/grupo
óleoduto	tubulação/canal/duto
prostatectomia	ablação/extirpação
varietal	vinho
sinédoque	metáfora
numerador	dividendo
capucha	chapéu
frâncio	metal
inspeção	reunião/teste/inspecção/encontro/inspecionar/examinar
orelhão	cabine/quiosque
adoção	aprovação/apropriação
alérgeno	substância
apresentante	pretendente/candidato/solicitante
pronunciação	idioma
camelô	fornecedor/comerciante/vendedor
dândi	varão/macho/homem
andador	estrutura/infra
guarda-marinha	cadete
antipirético	remédio/medicamento
prefeita	autarca/prefeito
travamento	acidente/azar
verde-azulado	pata/anás/pato
frescor	originalidade
catecumenato	aluno/pupilo/estudante
defenestração	exclusão/expulsão
tangência	ligação/conjunção/junção
goy	cristã/cristão
cocooning	reclusão
rinoscopia	inspecionar/examinar
zooplâncton	animal/criatura/bicho/ser/besta
mordida	bocado/ferimento/ferida/lesão/mágoa
cateterismo	cirurgia/operação
planejamento	projeto/ideia/desenho
amaciamento	atividade
rachadura	fenda/buraco/racha/fissura/fresta/greta
agrafador	maquinaria/máquina
painho	papai/progenitor/mãe/papá/pai
suplementação	acrescentamento/aumento
chute	porrada/esforço/golpe/tentativa
mangual	implemento/instrumento/ferramenta
chiaroscuro	imagem/desenho/figura/fotografia/ilustração/ícone
entomólogo	zoologista/zoólogo
recolhedor	trabalhador
ciclotrão	acelerador
sarja	pano/fazenda/tecido
ataúde	caixa
sobre-aquecimento	aquecimento/esquentamento
axiologia	filosofia
karma	fado/sorte/destino
amargor	amargura
chalupa	veleiro
aleta	membro
histamina	amina
cristalografia	física
sombreiro	chapéu
madressilva	arbusto/moita/mato
kleenex	folha/papel
afresco	muralismo
moleque	menino/jovem/criança
fisiologismo	discriminação
dedaleira	digital/erva/maconha
bergamota	citrino/laranjeira
cardamomo	condimento/erva/maconha/tempero
lixeiro	transportador
barco-fábrica	baleeiro
factorial	produto
transliteração	transcrição
predileção	afeição
cardigan	camisola/pulôver/agasalho
agonista	sonífero/medicamento/narcótico/entorpecente/remédio/droga
acanto	erva/maconha
inflorescência	flor/floração
espessamento	compactação
coorte	grupo/comunidade/círculo/ordem/gente/povo/população
adornamento	decoração
evitação	rejeição
interferente	desordeiro
incensário	vasilhame/vasilha/vaso
laminação	placa/chapa/lousa
prepúcio	pele
topete	punhado
arrecadador	burocrata
teísmo	religião/fé
flavonóide	pigmento
virago	megera
epicurismo	doutrina/filosofia
cenobita	religioso
muezim	apresentador
exceção	omissão/exemplo/objeção
beladona	erva/maconha
pepsi	cola/coca
tremedeira	terror/consternação/temor/medo/susto
bondage	sexo/transa
socialite	personagem
postilhão	ginete/cavaleiro
alelo	gene
excitabilidade	sensibilidade
miosótis	erva/maconha
crônica	registro
brie	queijo
stalinismo	autocracia/ditadura/despotismo
adsorção	atividade
balaio	cesto/cesta
metodismo	protestantismo
tarso	esqueleto
esmeril	mineral
hifenização	divisão
espinhaço	esqueleto
sortílego	ocultista
plectro	ferramenta/aparelho/aparato/mecanismo/instrumento/dispositivo/equipamento
madrigalista	cantador/cantor/cantora/vocalista
pecíolo	caule/tronco
perno	parafuso/tarraxa
tarantella	dance_music
alcaçuz	erva/maconha
mulo	ungulados/equídeo
endotélio	epitélio
absurdidade	tolice/insensatez/disparate/besteira
decolagem	princípio/início/começo
gusa	ferro
angioma	tumor/neoplasia
baleia-azul	baleia
suna	caminho
hiperventilação	respiração
saqué	bem/benefício/álcool
intéprete	intercessor/mediador
sálvia	erva/maconha
antisséptico	remédio/medicamento
curetagem	cirurgia/operação
bibliógrafo	acadêmico/estudioso/erudito/especialista
barbacã	torre/roque
nadir	adversidade
prolapso	deficiencia/incapacidade/deficiência/deficiente/inabilidade
mulher_pública	mulher
plancton	criatura/organismo/ser
iglu	choça/choupana/cabana/casebre/barraco
gumbo	sopa
conjuração	conspiração/ilusionismo/magia/mágica
mezzanino	edifício/balcão/sacada/tecido/estrutura
scriptorium	quarto/câmara/aposento/sala
pancreatite	inflamação
fraldinha	bife
apendicectomia	ablação/extirpação
isomorfismo	semelhança
chuço	arma/armamento
geoquímica	química
bidê	bacia/tigela
okapi	girafa
cauterização	cirurgia/operação
petúnia	flor
salsaparrilha	soda/refresco/refrigerante
bite	medição/unidade/medida
dolomita	mineral
eco-turismo	turismo
baquelite	plástico
necromante	adivinhador
neuropatia	doença/patologia
dispositivo_de_entrada	periférico
exatidão	correção/rigor/qualidade/precisão/exactidão
cumeeira	viga/fronteira/trave
freon	clorofluorcarboneto
dolina	depressão
pronação	rotação
fotoquímica	química
pós-combustão	ferramenta/aparelho/aparato/mecanismo/instrumento/dispositivo/equipamento
ciano	azul-petróleo
amenorréia	sintoma
planetesimal	estrela/astro
prognose	prognóstico/previsão/predição
diminuendo	número
baeta	pano/fazenda/tecido
estrela_fixa	estrela
sub-woofer	altifalante/alto-falante
proscênio	teatro/palco
dodecaedro	poliedro
incompreensibilidade	qualidade
runa	letra/grafema
asbestose	pneumoconiose
pterodáctilo	pterossauro
filistinismo	deseo/desejo
maser	amplificador
caxemirense	hindu/indiano
bufão	imbecil/palhaço/estúpido/idiota/bobo/tolo
bióxido	óxido
silte	solo/terra
aljava	mudança
erva-doce	condimento/tempero
extenuação	mitigação/moderação
calcinação	oxidação
colecistectomia	ablação/extirpação
bielo-russo	eslavo
sidra	bebida/álcool/cidra
cuspidor	recipiente
movéis	mobiliário/móvel/mobília
implemento	equipamento/instrumento/ferramenta
exórdio	introdução
tebano	heleno/egípcio/grega/grego
dessensibilização	abatimento/diminuição
erva-cidreira	erva/maconha
sociolinguística	linguística
contraveneno	medicamento/remédio/terapia
octaedro	poliedro
ar-condicionado	arrefecimento/esfriamento/refrigeração
furador	ferramenta
sikhismo	religião/fé
invencionice	mentira/falsidade
prototipo	exemplar/exemplo
acelga	vegetal/beterraba
celha	cabelo/pêlo
súcia	reunião
hiperligação	link/ligação
zéfiro	vento
alcalinidade	ph
poliandria	poligamia
arqueopterix	ave/pássaro
calçadeira	ferramenta/aparelho/aparato/mecanismo/instrumento/dispositivo/equipamento
foliculite	inflamação
protoplasma	substância
bosquete	floresta/mata/bosque
código-máquina	código
carma	fado/sorte/destino
cookie	bolo
peiote	cacto
molenga	vadio/vagabundo
aspartame	adoçante
ufania	satisfação
ácido_clorídico	ácido
citrato	sal/éster
peneireiro-vulgar	falcão
cocho	continente/contentor/caixa/jarro/vaso/vasilha
trombadinha	gatuno/ladra/ladrão
confiabilidade	peculiaridade/feição
detestação	abominação/repulsa/asco/náusea/repugnância/nojo/aversão/ódio
taxinomia	hierarquia
biblioteconomia	posto/cargo/posição
diacronia	linguística
encefalograma	gráfico
casinhola	vivenda/habitação/casa
deflexão	olhar/olhada
criptococose	micose
pirose	sintoma
tecelã	artífice/artesão
nevralgia	dor
coquetel	aperitivo/antepasto
cupim	insecto/inseto
conglomeração	combinação/mistura
transcendentalismo	filosofia
anáfora	repetição
fufa	lésbica
ictiologia	zoologia
prion	partícula
exobiologia	biologia
ecólogo	biólogo/biologista
andrógeno	esteróide/esteróides
baldeação	transferência/transporte
sucuri	jibóia
ovo_quente	prato
perna-de-pau	prótese
grânulo	joalharia/joalheria/jóia
polónio	metal
altruísta	patrocinador/doador
aventurança	humor/espírito
patchouli	arbusto/moita/mato
xileno	solvente
boá	cachecol
estuprador	assaltante/depravado/libertino/agressor/atacante/criminoso
machadinha	machado
capô	capa/fronha
manopla	luva
marginália	nota
array	arranjo
babosa	aloés
periodista	autor/escritor
hajj	peregrinação
presbiterianismo	protestantismo
fronde	folhagem/folha
xale	manto/capa
menonitas	protestantismo
hipoclorito	sal
mínimo_múltiplo_comum	múltiplo
dente_canino	dente
sus	porco/suíno
cachorra	cão/canídeo
solecismo	bobagem/gafe/fiasco
românica	latim
libertarianismo	ideologia
abalone	gastrópodes
miguel	arcanjo
pinball	passatempo/hobby
salivação	secreção
sura	capítulo/parte
inner_city	jazida
