Arundo	cana-do-reino
Aizoaceae	Mesembryanthemum/Pleiospilos/Tetragonia/Carpobrotus
Olea	oliveira
Chrysophyllum	Caimito
dela	javardo/leitão/barrão/javali/porquinho/porco-montês/cachaço/porco/Sus/suíno
Menispermaceae	Menispermum/Cocculus
Oxalidaceae	Averrhoa
Charadriiformes	Ave_limícola/Haematopus/torda
Laridae	Larus
gado	ovinos/vitelo/ovelha/carneiro/vacum/bovinos/gado_bovino/vaca/bezerro/terneiro
Secale	centeio
Danaus	borboleta-monarca
Bryophyta_sensu_lato	briófitas/briófita/Bryopsida
Dilleniidae	Malvales/Ericales/Santalales
Megatério	preguiça-gigante/Preguiça_gigante
NATO	Reino_da_Noruega/Grão-Ducado_do_Luxemburgo/Islândia/República_da_Bulgária/Noruega/Bulgaria/Bairros_da_Noruega/República_da_Islândia/Bulgária/Luxemburgo/Espanha/República_Francesa/França/Reino_Unido_da_Grã-Bretanha_e_Irlanda_do_Norte/Reino_Unido/Grã-Bretanha/Reino-Unido/Holando/Países_baixos/Países_Baixos/PaísesBaixos/Holanda/Reino_dos_Países_Baixos/Neerlândia/Canadá/Canada/EEUU/Estados_Unidos_da_América/América/Estados_Unidos/EUA/E.U.A./Turquia/República_da_Turquia/Itália/Italia/República_Italiana/Grécia/Listas_de_Portugal/Portugal/Alemanha/República_Federal_da_Alemanha/Reino_da_Dinamarca/Dinamarca/Bélgica/Poetas_da_Bélgica/Belgica
Myrtaceae	Eugenia/Syzygium/Myrcia/Psidium/Murta-comum/Murta_comum/Pimenta
Buxus	buxo
Aristolochiales	Rafflesiaceae/Aristolochiaceae/Hydnoraceae
baby_boom	baby_boomer
Bryophyta	briófitas/briófita/Bryopsida
Tília	tília/til
Emberizidae	Emberiza/Passerina
Benelux	Luxemburgo/Grão-Ducado_do_Luxemburgo/Holando/Países_baixos/Países_Baixos/PaísesBaixos/Holanda/Reino_dos_Países_Baixos/Neerlândia/Bélgica/Poetas_da_Bélgica/Belgica
Cucurbita	abóbora/Cabaceiro-amargoso
Bombax	paineira-vermelha-da-índia
Lapônia	lapônio/lapão
coven	bruxo/bruxa
Noruega	norueguês/Norueguês/norueguesa
Bulgária	búlgaro
frota	ônibus/navio_de_guerra/aeronaves/navio/embarcação/navios/barco/machimbombo/microlete/otocarro/autocarro/toca-toca/táxi/Taxi/Navio_de_guerra/Navios_de_guerra/avião/aeronave/aeroplano
Somalia	somali
Liga_árabe	Mauritânia/Mauritania/Arábia_Saudita/Emiratos_Árabes_Unidos/Emirados_Árabes_Unidos/Argelia/Algéria/Argélia/Iêmen/Iémen/Iemen/Sudão/Sudao/Jordânia/Jordania/Kuwait/Coveite/Cuaite/Estado_do_Kuwait/República_Árabe_do_Egipto/República_Árabe_Unida/Egipto/Egito/República_árabe_unida/República_Árabe_do_Egito/Iraque/República_do_Iraque/Estado_da_Líbia/Líbia/Barém/Bareine/Bahrein/Bahrain/Somalia/Somália/Libano/República_do_Líbano/Líbano/Tunisia/Tunísia/Jibuti/Djibuti/República_de_Djibuti/Djibouti/Qatar/Catar/Marrocos/Sultanato_do_Omã/Omã/Oman/Síria/Siria/República_Árabe_Síria
Países_baixos	Holandês/holandês/neerlandês
Ordem_dos_pregadores	Religiosos_da_Ordem_dos_Dominicanos
Thraupini	Piranga
Salmo	truta/Salmo_trutta/Truta_arco-íris/Truta_arco_íris/Truta_arco-irís/Truta-arco-íris
Centaurus	Beta_Centauri/Próxima_Centauri/Omega_Centauri/Alfa_centauri/Alfa_Centauri
Bufonidae	sapo
Ophiuroidea	Ophiurida
Thymelaeaceae	Dirca
Dasypus	tatu-veado/tatu-de-folha/tatuetê/tatu-verdadeiro/tatu-galinha
Tytonidae	Tyto
submundo	Crime_organizado/crime_organizado
Simaroubaceae	Picrasma/Kirkia/Irvingia
Aconitum	acônito
quaker	quacre/quaqueiro/quáquer
Podargidae	Podargus
Rana	Rana_pipiens/Conraua_goliath/Rana_catesbeiana/rã-touro-americana/Rana_clamitans
Monotropaceae	Monotropa
cavalos	potro
irmandade	frade/irmão
Elettaria	cardamomo
Corpo_de_Fuzileiros_Navais_dos_Estados_Unidos_da_América	Fuzileiros_Navais/Fuzileiros_navais
crux	Acrux/Becrux
eslavos	eslavo
Génova	genovez
Lemuroidea	Lorisidae/Indridae/Lemuridae/lémure/lêmure
Phlebotomus	mosquito_pólvora
Pimpinella	anis
Galliformes	Phasianidae/galináceo/Cracidae
Constelação_de_Virgo	Spica
Eslovénia	eslovena/esloveno
aranha	tarântula/Theraphosidae/Aranha-lobo/Lycosidae
placentários	Primatas/primatas/Proboscídeos/Proboscidea/Lagomorfos/lagomorfos/cetáceos/Cetáceos/carnívoros/Carnívoros/Carnivora/fissípedes/Insectívoros/mamífero/Sirenia
Nova_Zelândia	neozelandês
ulemá	Mulá
Saara	tuaregues
Dipsacus	carda
Menyanthaceae	Menyanthes
Dipodidae	Jaculus
Clethraceae	Clethra
Ortografia	divisão_da_palavra_no_final_da_linha/colocação_de_hífens/pontuação/Pontuação
Lathyrus	ervilha-de-cheiro
Phytophthora	Phytophthora_infestans
Quênia	queniano
Urticales	Moraceae/Urticaceae/Ulmaceae
Ursus	urso-pardo
Afeganistão	afegão
Anoplura	piolho/sem-vergonha
Molossidae	Eumops/Tadarida
Organização_dos_Estados_Americanos	Costa_Rica/Uruguai/Chile/O_Chile/Sao_Vicente_e_Granadinas/São_Vicente_e_Granadinas/Jamaica/MEXICO/México/Estados_Unidos_Mexicanos/Mexico/Paraguai/Guatemala/República_da_Guatemala/República_do_Haiti/Haití/Haiti/Santa_Lúcia/República_das_Honduras/Honduras/Barbados/São_Cristóvão_e_Nevis/Saint_Kitts_e_Nevis/São_Cristóvão_e_Neves/Domínica/Dominica/Domingos/Comunidade_da_Dominica/Baamas/Bahamas/Venezuela/Colômbia/Colombia/Colómbia/Granada/República_Dominicana/Panamá/Suriname/Cuba/Trinidad_e_tobago/Trinidad_e_Tobago/Trindade_e_Tobago/EEUU/Estados_Unidos_da_América/América/Estados_Unidos/EUA/E.U.A./Antígua_e_Barbuda/Equador/República_do_Equador/Bolívia/Bolivia/El_Salvador/Salvador/El_salvador/Argentina/Brasil/República_Federativa_do_Brasil/República_do_Peru/Peru
tribo	nahuatl/parente/olmecas/Olmecas
Indonesia	indonésio
Labridae	Thalassoma
Aquifoliaceae	Ilex
Raposas	raposa
Tatu-bola	Tatu-bola-da-caatinga
Quenia	queniano
Bélgica	belga
O_Chile	chileno
Paris	parisiense
Organização_dos_estados_americanos	Costa_Rica/Uruguai/Chile/O_Chile/Sao_Vicente_e_Granadinas/São_Vicente_e_Granadinas/Jamaica/MEXICO/México/Estados_Unidos_Mexicanos/Mexico/Paraguai/Guatemala/República_da_Guatemala/República_do_Haiti/Haití/Haiti/Santa_Lúcia/República_das_Honduras/Honduras/Barbados/São_Cristóvão_e_Nevis/Saint_Kitts_e_Nevis/São_Cristóvão_e_Neves/Domínica/Dominica/Domingos/Comunidade_da_Dominica/Baamas/Bahamas/Venezuela/Colômbia/Colombia/Colómbia/Granada/República_Dominicana/Panamá/Suriname/Cuba/Trinidad_e_tobago/Trinidad_e_Tobago/Trindade_e_Tobago/EEUU/Estados_Unidos_da_América/América/Estados_Unidos/EUA/E.U.A./Antígua_e_Barbuda/Equador/República_do_Equador/Bolívia/Bolivia/El_Salvador/Salvador/El_salvador/Argentina/Brasil/República_Federativa_do_Brasil/República_do_Peru/Peru
Caeciliidae	gimnofiono/Gymnophiona
Cárica	Mamão
Aristolochiaceae	Aristolochia/Asarum
sororidade	irmã/soror
Sri_Lanka	cingalês
Constelação_de_Perseus	Beta_Persei/Beta_persei
Lardizabalaceae	Lardizabala
Phytolaccaceae	Rivina
Lepisma	Lepisma_saccharina
Ericales	Clethraceae/Diapensiaceae/Pyrolaceae/Monotropaceae
Arecaceae	Acrocomia/Ceroxylon/Attalea/Metroxylon/palma/Arenga/Rhapis/Corypha/Caryota/Livistona/Borassus/Thrinax/Palha_da_costa/fênix/Serenoa_repens/Sabal/Roystonea/Copernicia/fénix/Palha-da-costa/palmeira
Aotus	Aotus_trivirgatus
Saccharomyces	Saccharomyces_cerevisiae
Magnoliopsida	Aristolochiales/Proteales/Sapindales/Caryophyllidae/Magnoliidae/Dicotiledônea/Dicotiledonea/dicotiledónea/Primulales/Polygonales/Asteridae/Juglandales/Ebenales/Gentianales/Urticales/Dilleniidae/Rosidae/Rhamnales/Piperales
Ilhas_Samoa	samoano
Austrália	australiano
Botswana	hererós/Hereros
Gâmbia	gambiano
Abutres_do_Novo_Mundo	Cathartes
Pipistrellus	Morcego-anão/Pipistrellus_pipistrellus
Rutaceae	Zanthoxylum/Phellodendron/Dictamnus
República_do_Iraque	iraquiano
estudos_urbanos	delimitação_de_zonas
Ulmeiro	ulmo/olmo/ulmeiro
Betulaceae	Corylus/Ostryopsis/Ostrya/Carpinus/Alnus/bétula
Sião	tailandês
Pipidae	Xenopus
tribunal	júri/Júri
Tcheco-Eslováquia	tchecoslovaco/checoslovaco
Melia	Amargoseira
Emberizini	Emberiza/Passerina
Burseraceae	Boswellia/Commiphora/Bursera/Protium
boda	dama_de_honor/dama_de_honra/noiva/noivo/namorado
Eslovênia	eslovena/esloveno
Corvidae	Pica
Santalum	sândalo
Celastraceae	Euonymus/Celastrus
lama	alpaca/Guanaco/guanaco
Finlândia	finlandês
Orquidea	Sarcochilus/Malaxis/Gymnadenia/orquídea/Cephalanthera/Encyclia/Coryanthes/Goodyera/Phragmipedium/Brassia/Epidendrum/Corallorrhiza/Hexalectris/Cypripedium/Aplectrum/Psychopsis/Epipactis/Glossodia/Dryadella/Angraecum/Miltonia/Scaphosepalum/Calopogon/Habenaria/Spiranthes/Ophrys/Himantoglossum/Bletilla/Anoectochilus/Grammatophyllum/Listera/Schomburgkia/Cleistes/Phalaenopsis/Pterostylis/Selenipedium/Platanthera/Paphiopedilum/Cycnoches/Catasetum/Pleione/Dactylorhiza
mustelídeos	Lutrinae/cangambá/Conepatus
forças_navais	frota
Painhos	Oceanites
Ceilão	cingalês
gênero	Espécie/espécie/espécies
Suécia	sueca/sueco
filovírus	Vírus_de_Marburg
Pirambeba	piranha
Ivy_League	Universidade_Harvard/Universidade_Colúmbia/Universidade_da_Pensilvânia/Universidade_cornell/Universidade_de_Princeton/Universidade_columbia/Universidade_harvard/Universidade_Cornell/Universidade_Columbia/Universidade_Brown/Faculdade_de_dartmouth/Faculdade_de_Dartmouth/Universidade_yale/Universidade_Yale
Podocarpaceae	Microstrobos/Lepidothamnus/Dacrydium/Falcatifolium/Prumnopitys/Retrophyllum/Sundacarpus/Dacrycarpus/Parasitaxus_ustus/Podocarpus/Nageia/Halocarpus/Afrocarpus
vacum	vitelo/bezerro/terneiro
Bérberis	bérberis/uva-espim
Cosa_nostra	mafioso
Cypriniformes	Cobitidae/Cyprinidae/Catostomidae/Sugador/Poeciliidae/Cyprinodontidae/Characidae
Dipsacaceae	Dipsacus
Java	Javan/jau/javanês
Primulaceae	Lysimachia/Samolus/Anagallis/Glaux
seu	javardo/leitão/barrão/javali/porquinho/porco-montês/cachaço/porco/Sus/suíno
Fringillidae	Pyrrhula/Fringilla/Loxia/Emberizini/Emberizidae/tentilhão/Serinus/Spinuş/Carduelis/Carpodacus
Escala_musical	nota/tom
Budismo	Budistas/budista
clube	sócio_de_clube
Castoridae	Rodízio/castor/Castor_gigante/castor-gigante
ImpérioBizantino	bizantino
Roma	Cidadania_Romana/Antigos_Romanos/cidadania_romana
Pennisetum	Mexoeira
Mandrillus	Mandril
Alosa	sável
Suidae	dela/seu/świnia/porco/suíno
Momordica	Melão_de_São_Caetano/Melão-de-são-caetano
Flamboyant	Delonix_regia
